run_id,strategy,scenario,seed,mae,rmse,detection_delay,drift_detections,anomaly_detections,false_positive_triggers,retraining_events,validation_skipped_events,candidates_generated,gate_accepts,gate_rejects,shadow_promotions,shadow_rejections,model_promoted_events,degraded_promotions,degraded_promotion_rate,time_to_first_error_recovery,time_to_sustained_recovery,total_retraining_time,total_shadow_evaluation_time,total_adaptation_time,mean_inference_latency,stream_length,stream_mode,scenario_onset_cycle_min,scenario_onset_cycle_max,train_fraction,validation_fraction,retraining_interval,raw_csv,summary_json
naive_adaptive_concept_drift_seed42,naive_adaptive,concept_drift,42,14.713511680187912,21.144416017448624,518,11,82,0,11,0,11,0,0,0,0,11,0,0.0,1,14,5.630673600098817,0.0,5.630673600098817,0.02340307262473895,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_concept_drift_seed42_20260825_024338_events.csv,experiments\results\aggregated\naive_adaptive_concept_drift_seed42_20260825_024338_summary.json
naive_adaptive_concept_drift_seed123,naive_adaptive,concept_drift,123,14.798172889849127,21.133064208536013,166,12,257,0,12,0,12,0,0,0,0,12,0,0.0,1,5,5.73458170008962,0.0,5.73458170008962,0.022718846833389154,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_concept_drift_seed123_20260825_024715_events.csv,experiments\results\aggregated\naive_adaptive_concept_drift_seed123_20260825_024715_summary.json
naive_adaptive_concept_drift_seed456,naive_adaptive,concept_drift,456,14.23282513712272,20.88817162693879,134,11,233,0,11,0,11,0,0,0,0,11,0,0.0,9,13,5.171390399977099,0.0,5.171390399977099,0.0221328682917859,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_concept_drift_seed456_20260825_025048_events.csv,experiments\results\aggregated\naive_adaptive_concept_drift_seed456_20260825_025048_summary.json
naive_adaptive_correlated_drift_seed42,naive_adaptive,correlated_drift,42,9.933276926142135,14.812269682644645,518,13,1474,0,12,0,12,0,0,0,0,12,0,0.0,,,5.8322788000514265,0.0,5.8322788000514265,0.02279867829169234,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_correlated_drift_seed42_20260825_025416_events.csv,experiments\results\aggregated\naive_adaptive_correlated_drift_seed42_20260825_025416_summary.json
naive_adaptive_correlated_drift_seed123,naive_adaptive,correlated_drift,123,9.505125660011409,15.135626289743296,166,14,1565,0,12,0,12,0,0,0,0,12,0,0.0,,,6.19933689996833,0.0,6.19933689996833,0.023219981291683022,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_correlated_drift_seed123_20260825_025748_events.csv,experiments\results\aggregated\naive_adaptive_correlated_drift_seed123_20260825_025748_summary.json
naive_adaptive_correlated_drift_seed456,naive_adaptive,correlated_drift,456,8.779979450047815,14.068633504719756,134,13,1518,0,12,0,12,0,0,0,0,12,0,0.0,,,5.343391799950041,0.0,5.343391799950041,0.02191985454165357,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_correlated_drift_seed456_20260825_030124_events.csv,experiments\results\aggregated\naive_adaptive_correlated_drift_seed456_20260825_030124_summary.json
naive_adaptive_drift_recovery_seed42,naive_adaptive,drift_recovery,42,10.143271659679051,14.86670740448501,518,21,1431,0,17,0,17,0,0,0,0,17,0,0.0,,,8.337374200025806,0.0,8.337374200025806,0.02225717937482841,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_drift_recovery_seed42_20260825_031524_events.csv,experiments\results\aggregated\naive_adaptive_drift_recovery_seed42_20260825_031524_summary.json
naive_adaptive_drift_recovery_seed123,naive_adaptive,drift_recovery,123,8.726484211102779,13.897224539299245,166,19,1527,0,17,0,17,0,0,0,0,17,0,0.0,,,4.426755299908109,0.0,4.426755299908109,0.011304471082949021,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_drift_recovery_seed123_20260825_031852_events.csv,experiments\results\aggregated\naive_adaptive_drift_recovery_seed123_20260825_031852_summary.json
naive_adaptive_drift_recovery_seed456,naive_adaptive,drift_recovery,456,9.850033689977003,16.280847404352212,134,23,1477,0,21,0,21,0,0,0,0,21,0,0.0,,,5.3136667001235764,0.0,5.3136667001235764,0.010376603333643288,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_drift_recovery_seed456_20260825_032051_events.csv,experiments\results\aggregated\naive_adaptive_drift_recovery_seed456_20260825_032051_summary.json
naive_adaptive_gradual_drift_seed42,naive_adaptive,gradual_drift,42,9.625415145115458,14.294481919312302,518,11,341,0,9,0,9,0,0,0,0,9,0,0.0,,,4.504085900087375,0.0,4.504085900087375,0.022715165625049848,2400,interleaved,25,35,0.76,0.25,100,experiments\results\raw\naive_adaptive_gradual_drift_seed42_20260825_020614_events.csv,experiments\results\aggregated\naive_adaptive_gradual_drift_seed42_20260825_020614_summary.json
