run_id,strategy,scenario,seed,stream_length,stream_mode,scenario_onset_cycle_min,scenario_onset_cycle_max,train_fraction,validation_fraction,retraining_interval,data_drift_window,data_drift_p_threshold,data_drift_feature_ratio_threshold,data_drift_min_effect_size,error_window,error_threshold,retrain_error_threshold,retrain_drift_score_threshold,performance_gate_threshold,shadow_window,cooldown,minimum_retraining_samples,minimum_validation_rows,minimum_validation_units,git_commit,dataset_checksum,python_version,planned_timestamp,status,raw_csv_path,summary_json_path
static_gradual_drift_seed42,static,gradual_drift,42,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_gradual_drift_seed42_*.csv,experiments\results\aggregated\static_gradual_drift_seed42_*.json
static_gradual_drift_seed123,static,gradual_drift,123,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_gradual_drift_seed123_*.csv,experiments\results\aggregated\static_gradual_drift_seed123_*.json
static_gradual_drift_seed456,static,gradual_drift,456,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_gradual_drift_seed456_*.csv,experiments\results\aggregated\static_gradual_drift_seed456_*.json
static_sudden_spike_seed42,static,sudden_spike,42,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_sudden_spike_seed42_*.csv,experiments\results\aggregated\static_sudden_spike_seed42_*.json
static_sudden_spike_seed123,static,sudden_spike,123,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_sudden_spike_seed123_*.csv,experiments\results\aggregated\static_sudden_spike_seed123_*.json
static_sudden_spike_seed456,static,sudden_spike,456,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_sudden_spike_seed456_*.csv,experiments\results\aggregated\static_sudden_spike_seed456_*.json
static_high_noise_seed42,static,high_noise,42,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_high_noise_seed42_*.csv,experiments\results\aggregated\static_high_noise_seed42_*.json
static_high_noise_seed123,static,high_noise,123,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_high_noise_seed123_*.csv,experiments\results\aggregated\static_high_noise_seed123_*.json
static_high_noise_seed456,static,high_noise,456,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_high_noise_seed456_*.csv,experiments\results\aggregated\static_high_noise_seed456_*.json
static_sensor_failure_seed42,static,sensor_failure,42,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_sensor_failure_seed42_*.csv,experiments\results\aggregated\static_sensor_failure_seed42_*.json
static_sensor_failure_seed123,static,sensor_failure,123,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_sensor_failure_seed123_*.csv,experiments\results\aggregated\static_sensor_failure_seed123_*.json
static_sensor_failure_seed456,static,sensor_failure,456,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_sensor_failure_seed456_*.csv,experiments\results\aggregated\static_sensor_failure_seed456_*.json
static_concept_drift_seed42,static,concept_drift,42,2400,interleaved,25,35,0.76,0.25,100,20,0.05,0.12,0.08,8,75.0,45.0,0.55,0.95,20,30,55,20,1,fa6cbd5571184daf2ddbebd319aaf6614c276f9b,1721c96c01e188569f0e7bb16b1ea493,3.12.0,2026-08-25 00:07:03,PLANNED,experiments\results\raw\static_concept_drift_seed42_*.csv,experiments\results\aggregated\static_concept_drift_seed42_*.json
